fold,agent,count
1,CamelliaDragons1,18
1,CanisLupus1,19
1,Character-Lab1,8
1,GAIT1,3
1,GPTaku1,16
1,ai168wolf1,8
1,kanolab-nw1,8
1,kanolab1,10
1,mille1,20
1,osawalab1,9
1,sunamelli1,19
1,yharada1,7
2,CamelliaDragons1,16
2,CanisLupus1,18
2,Character-Lab1,9
2,GAIT1,5
2,GPTaku1,16
2,ai168wolf1,7
2,kanolab-nw1,9
2,kanolab1,8
2,mille1,18
2,osawalab1,9
2,sunamelli1,17
2,yharada1,8
3,CamelliaDragons1,16
3,CanisLupus1,14
3,Character-Lab1,12
3,GAIT1,6
3,GPTaku1,18
3,ai168wolf1,7
3,kanolab-nw1,9
3,kanolab1,7
3,mille1,16
3,osawalab1,8
3,sunamelli1,18
3,yharada1,9
4,CamelliaDragons1,19
4,CanisLupus1,16
4,Character-Lab1,9
4,GAIT1,4
4,GPTaku1,19
4,ai168wolf1,7
4,kanolab-nw1,11
4,kanolab1,7
4,mille1,16
4,osawalab1,9
4,sunamelli1,19
4,yharada1,9
5,CamelliaDragons1,17
5,CanisLupus1,16
5,Character-Lab1,10
5,GAIT1,7
5,GPTaku1,14
5,ai168wolf1,8
5,kanolab-nw1,9
5,kanolab1,9
5,mille1,16
5,osawalab1,8
5,sunamelli1,17
5,yharada1,9
